1/2007	one two thousand seventh
2¾	two and three quarters
1803/4	one thousand eight hundred three quarters
30/1	thirty over one
70/90	seventy ninetieths
1/1292	one one thousand two hundred ninety second
10/13	ten thirteenths
-1/2	minus one half
26 1/2	twenty six and a half
27 1/2	twenty seven and a half
10/20	ten twentieths
115/1,000	one hundred fifteen one thousandths
8¾	eight and three quarters
1711/12	one thousand seven hundred eleven twelfths
57/3	fifty seven thirds
12/97	twelve ninety sevenths
24/7	twenty four sevenths
34/61	thirty four sixty firsts
11/6	eleven sixths
12/10	twelve tenths
0/68	zero sixty eighths
2/2	two halves
2015/20161	two thousand fifteen twenty thousand one hundred sixty firsts
33/40	thirty three fortieths
4064/89	four thousand sixty four eighty ninths
-102/8	minus one hundred two eighths
2/3	two thirds
6/16	six sixteenths
7/26	seven twenty sixths
1/40	one fortieth
1597/8	one thousand five hundred ninety seven eighths
17 1/2	seventeen and a half
29 1/2	twenty nine and a half
1/2012	one two thousand twelfth
17/1	seventeen over one
36/2001	thirty six two thousand firsts
1/10	one tenth
1/5	one fifth
7/8	seven eighths
11/70	eleven seventieths
11/780	eleven seven hundred eightieths
50/50	fifty fiftieths
3/8	three eighths
11/22	eleven twenty seconds
917/10	nine hundred seventeen tenths
92/91	ninety two ninety firsts
2/101	two one hundred firsts
8/14	eight fourteenths
3/404	three four hundred fourths
57/2	fifty seven halves
-1/2	minus one half
3½	three and a half
3/4	three quarters
1535/36	one thousand five hundred thirty five thirty sixths
2/30	two thirtieths
1/6	one sixth
42/43	forty two forty thirds
140/1996	one hundred forty one thousand nine hundred ninety sixths
9/2009	nine two thousand ninths
175 / 176	one hundred seventy five one hundred seventy sixths
243/2014	two hundred forty three two thousand fourteenths
5½	five and a half
1/3	one third
51/1	fifty one over one
7/10	seven tenths
4/2007	four two thousand sevenths
25/48	twenty five forty eighths
33 1/3	thirty three and a third
4/35	four thirty fifths
4/11	four elevenths
7/9	seven ninths
63/1	sixty three over one
560/5	five hundred sixty fifths
1879/80	one thousand eight hundred seventy nine eightieths
1/57	one fifty seventh
1/2	one half
1/4	one quarter
1/4	one quarter
4/17	four seventeenths
11/3	eleven thirds
11/20	eleven twentieths
11/15	eleven fifteenths
1946/47	one thousand nine hundred forty six forty sevenths
2013/14	two thousand thirteen fourteenths
550/551	five hundred fifty five hundred fifty firsts
3/2	three halves
4/27	four twenty sevenths
285/580	two hundred eighty five five hundred eightieths
2221/10	two thousand two hundred twenty one tenths
4/66	four sixty sixths
2/4	two quarters
6/7	six sevenths
20/20	twenty twentieths
9/23	nine twenty thirds
1/2008	one two thousand eighth
20/11	twenty elevenths
5/26	five twenty sixths
1/8	one eighth
4/17751	four seventeen thousand seven hundred fifty firsts
2/370	two three hundred seventieths
4½	four and a half
1848/49	one thousand eight hundred forty eight forty ninths
1310/88	one thousand three hundred ten eighty eighths
1318/88	one thousand three hundred eighteen eighty eighths
3615/2	three thousand six hundred fifteen halves
358/2	three hundred fifty eight halves
358/2	three hundred fifty eight halves
358/2	three hundred fifty eight halves
358/2	three hundred fifty eight halves
500/1	five hundred over one
18/38	eighteen thirty eighths
1⅔	one and two thirds
11961/2006	eleven thousand nine hundred sixty one two thousand sixths
641/640	six hundred forty one six hundred fortieths
39/1985	thirty nine one thousand nine hundred eighty fifths
40/1985	forty one thousand nine hundred eighty fifths
1/2	one half
121/0	one hundred twenty one zeroths
8/1	eight over one
713/2009	seven hundred thirteen two thousand ninths
½	one half
5/9	five ninths
3/2	three halves
14/15	fourteen fifteenths
262/1	two hundred sixty two over one
7/26	seven twenty sixths
7/10	seven tenths
400/200	four hundred two hundredths
2/6	two sixths
100/300	one hundred three hundredths
6/21	six twenty firsts
91/100	ninety one one hundredths
1/2	one half
-3788/8	minus three thousand seven hundred eighty eight eighths
1/4	one quarter
72/100	seventy two one hundredths
6/4	six quarters
5/2	five halves
3/1	three over one
1865/66	one thousand eight hundred sixty five sixty sixths
39/40	thirty nine fortieths
4½	four and a half
24/7	twenty four sevenths
6/10	six tenths
1/4	one quarter
26/2007	twenty six two thousand sevenths
3/3	three thirds
4/16	four sixteenths
20/20	twenty twentieths
7/7	seven sevenths
2/55	two fifty fifths
13/100	thirteen one hundredths
4/5	four fifths
359/360	three hundred fifty nine three hundred sixtieths
20/20	twenty twentieths
313/314	three hundred thirteen three hundred fourteenths
207/208	two hundred seven two hundred eighths
4/21	four twenty firsts
7/12	seven twelfths
3/4	three quarters
54/100	fifty four one hundredths
1/3	one third
68/151	sixty eight one hundred fifty firsts
1/2	one half
2/21	two twenty firsts
11/2	eleven halves
10/20	ten twentieths
1/2	one half
1/2	one half
239/56	two hundred thirty nine fifty sixths
247/861	two hundred forty seven eight hundred sixty firsts
949/1542	nine hundred forty nine one thousand five hundred forty seconds
11/12	eleven twelfths
1617/41	one thousand six hundred seventeen forty firsts
12493/12494	twelve thousand four hundred ninety three twelve thousand four hundred ninety fourths
22693/22694	twenty two thousand six hundred ninety three twenty two thousand six hundred ninety fourths
4/5	four fifths
75/76	seventy five seventy sixths
4/26	four twenty sixths
44/55	forty four fifty fifths
92/100	ninety two one hundredths
2/3	two thirds
1/3	one third
917/20	nine hundred seventeen twentieths
319/6	three hundred nineteen sixths
234/4	two hundred thirty four quarters
1946/47	one thousand nine hundred forty six forty sevenths
1986/87	one thousand nine hundred eighty six eighty sevenths
6 1/2	six and a half
9/2007	nine two thousand sevenths
24/7	twenty four sevenths
4/90	four ninetieths
8/23	eight twenty thirds
9/20	nine twentieths
14/32	fourteen thirty seconds
4/2009	four two thousand ninths
6/2010	six two thousand tenths
1/13	one thirteenth
½	one half
20/20	twenty twentieths
9/11	nine elevenths
2/108	two one hundred eighths
7/22	seven twenty seconds
2 1/2	two and a half
1/2	one half
2/14	two fourteenths
1/2008	one two thousand eighth
½	one half
7/10	seven tenths
8/10	eight tenths
9/11	nine elevenths
1/6	one sixth
6½	six and a half
1/21	one twenty first
50/50	fifty fiftieths
2/23	two twenty thirds
24/25	twenty four twenty fifths
200/500	two hundred five hundredths
20/75	twenty seventy fifths
10/28	ten twenty eighths
12/19	twelve nineteenths
11/12	eleven twelfths
1872/73	one thousand eight hundred seventy two seventy thirds
-3/5	minus three fifths
3000/4000	three thousand four thousandths
8088/80286	eight thousand eighty eight eighty thousand two hundred eighty sixths
1946/47	one thousand nine hundred forty six forty sevenths
2011/12	two thousand eleven twelfths
2124/2008	two thousand one hundred twenty four two thousand eighths
18/151	eighteen one hundred fifty firsts
2/3	two thirds
48/22	forty eight twenty seconds
1/2	one half
401/2	four hundred one halves
7/11	seven elevenths
105433/1937	one hundred five thousand four hundred thirty three one thousand nine hundred thirty sevenths
12/5	twelve fifths
3/10	three tenths
2/7	two sevenths
19/20	nineteen twentieths
57/4	fifty seven quarters
235/3	two hundred thirty five thirds
61/4	sixty one quarters
-1/16	minus one sixteenth
2016/7	two thousand sixteen sevenths
2/3	two thirds
4/3	four thirds
299/1	two hundred ninety nine over one
2 1/2	two and a half
19/1	nineteen over one
11/4	eleven quarters
21½	twenty one and a half
2 1/2	two and a half
4/97	four ninety sevenths
10/1	ten over one
8/8	eight eighths
1/103	one one hundred third
11/12	eleven twelfths
6/10	six tenths
1/6	one sixth
6/4	six quarters
24/7	twenty four sevenths
9/2	nine halves
8/28	eight twenty eighths
44051/3	forty four thousand fifty one thirds
6/28	six twenty eighths
8½	eight and a half
10/11	ten elevenths
2004 24/7	two thousand four and twenty four sevenths
2½	two and a half
25858/1	twenty five thousand eight hundred fifty eight over one
243/2014	two hundred forty three two thousand fourteenths
20/20	twenty twentieths
2109/11	two thousand one hundred nine elevenths
1/5	one fifth
1/3	one third
1/2	one half
224/225	two hundred twenty four two hundred twenty fifths
2655/2656	two thousand six hundred fifty five two thousand six hundred fifty sixths
259/2014	two hundred fifty nine two thousand fourteenths
201/202	two hundred one two hundred seconds
3/5	three fifths
2/28	two twenty eighths
20/20	twenty twentieths
1/5	one fifth
7/8	seven eighths
7/8	seven eighths
-1/2	minus one half
33/1	thirty three over one
3/5	three fifths
1/4	one quarter
2/2008	two two thousand eighths
9/11	nine elevenths
1/3	one third
2/3	two thirds
2/7	two sevenths
1651/52	one thousand six hundred fifty one fifty seconds
6½	six and a half
3½	three and a half
1368/72	one thousand three hundred sixty eight seventy seconds
243/2014	two hundred forty three two thousand fourteenths
1/19	one nineteenth
6/64	six sixty fourths
8/10	eight tenths
2 1/2	two and a half
1/2	one half
-1/3	minus one third
11/1	eleven over one
2½	two and a half
4/20	four twentieths
-1/2	minus one half
-707/13	minus seven hundred seven thirteenths
12/30	twelve thirtieths
3/325	three three hundred twenty fifths
572/720	five hundred seventy two seven hundred twentieths
8/1937	eight one thousand nine hundred thirty sevenths
2012/168	two thousand twelve one hundred sixty eighths
21/24	twenty one twenty fourths
2/3	two thirds
2/53	two fifty thirds
13/2008	thirteen two thousand eighths
6,000/10,000	six thousand ten thousandths
13/31	thirteen thirty firsts
6 ¾	six and three quarters
35/36	thirty five thirty sixths
2011/85	two thousand eleven eighty fifths
3½	three and a half
7½	seven and a half
36/1	thirty six over one
10/11	ten elevenths
3835/3844	three thousand eight hundred thirty five three thousand eight hundred forty fourths
8/6	eight sixths
5/3	five thirds
164/1970	one hundred sixty four one thousand nine hundred seventieths
2/1000	two one thousandths
10/29	ten twenty ninths
11/9	eleven ninths
4/5	four fifths
2014/17	two thousand fourteen seventeenths
16688/16689	sixteen thousand six hundred eighty eight sixteen thousand six hundred eighty ninths
2005/12	two thousand five twelfths
12/13	twelve thirteenths
9/24	nine twenty fourths
1/2 141	one two thousand one hundred forty first
83/86	eighty three eighty sixths
89/96	eighty nine ninety sixths
11/11	eleven elevenths
3½	three and a half
20/20	twenty twentieths
2008/913	two thousand eight nine hundred thirteenths
3½	three and a half
28/1	twenty eight over one
12/2002	twelve two thousand seconds
93/98	ninety three ninety eighths
243/2014	two hundred forty three two thousand fourteenths
1/2	one half
9/29	nine twenty ninths
4/20	four twentieths
10/24	ten twenty fourths
6/18981	six eighteen thousand nine hundred eighty firsts
1,500/100,000	one thousand five hundred one hundred thousandths
10/25	ten twenty fifths
1729/30	one thousand seven hundred twenty nine thirtieths
50/50	fifty fiftieths
4/15	four fifteenths
7/28	seven twenty eighths
4/6	four sixths
11/39	eleven thirty ninths
21 / 2002	twenty one two thousand seconds
1/23	one twenty third
86/100	eighty six one hundredths
21/30	twenty one thirtieths
20/20	twenty twentieths
3/16	three sixteenths
7/32	seven thirty seconds
1/4	one quarter
1707/8	one thousand seven hundred seven eighths
26/11	twenty six elevenths
24/7	twenty four sevenths
2/2014	two two thousand fourteenths
1945/6	one thousand nine hundred forty five sixths
20/20	twenty twentieths
1550/51	one thousand five hundred fifty fifty firsts
20/4	twenty quarters
2/3	two thirds
3773/57	three thousand seven hundred seventy three fifty sevenths
3/3	three thirds
1/3	one third
1/2	one half
3/2	three halves
3/5	three fifths
79/2012	seventy nine two thousand twelfths
11/5	eleven fifths
4/5	four fifths
4/80	four eightieths
67/2006	sixty seven two thousand sixths
43/2004	forty three two thousand fourths
9/8	nine eighths
11/2013	eleven two thousand thirteenths
72/2005	seventy two two thousand fifths
5/11	five elevenths
2008/117	two thousand eight one hundred seventeenths
1/4	one quarter
2 1/2	two and a half
5/13	five thirteenths
3/30	three thirtieths
-1/2	minus one half
8½	eight and a half
10/1925	ten one thousand nine hundred twenty fifths
5/6	five sixths
11/13	eleven thirteenths
53⅓	fifty three and a third
1/4	one quarter
1890/91	one thousand eight hundred ninety ninety firsts
2½	two and a half
1002/4	one thousand two quarters
2½	two and a half
69/100	sixty nine one hundredths
2185/2186	two thousand one hundred eighty five two thousand one hundred eighty sixths
1893/154	one thousand eight hundred ninety three one hundred fifty fourths
29/36	twenty nine thirty sixths
2/9	two ninths
1½	one and a half
8/106	eight one hundred sixths
7/9	seven ninths
58/100	fifty eight one hundredths
3/4	three quarters
242/243	two hundred forty two two hundred forty thirds
86/88	eighty six eighty eighths
86/90	eighty six ninetieths
39/43	thirty nine forty thirds
3/3	three thirds
4/18	four eighteenths
1/2	one half
445/446	four hundred forty five four hundred forty sixths
6/8	six eighths
9/11	nine elevenths
3/22	three twenty seconds
7/20	seven twentieths
20/20	twenty twentieths
6/17	six seventeenths
3/5	three fifths
1/4	one quarter
15/54	fifteen fifty fourths
24/7	twenty four sevenths
201/351	two hundred one three hundred fifty firsts
4/5	four fifths
46/100	forty six one hundredths
9/11	nine elevenths
9/11	nine elevenths
22/23	twenty two twenty thirds
7/8	seven eighths
50/100	fifty one hundredths
1660/1	one thousand six hundred sixty over one
37 / 2005	thirty seven two thousand fifths
5/25	five twenty fifths
2005/6	two thousand five sixths
2011/302	two thousand eleven three hundred seconds
2/7	two sevenths
45/1981	forty five one thousand nine hundred eighty firsts
1/4	one quarter
8/8	eight eighths
1093/263	one thousand ninety three two hundred sixty thirds
6/10	six tenths
-2005/6	minus two thousand five sixths
2006/7	two thousand six sevenths
2009/10	two thousand nine tenths
2010/11	two thousand ten elevenths
2012/13	two thousand twelve thirteenths
2013/14	two thousand thirteen fourteenths
2014/15	two thousand fourteen fifteenths
63/100	sixty three one hundredths
5½	five and a half
1/3	one third
1893/4	one thousand eight hundred ninety three quarters
3/13	three thirteenths
4/2008	four two thousand eighths
13/31	thirteen thirty firsts
